,视频标题,视频up主,视频观看人数（万次）,视频综合得分,视频弹幕数量,视频链接
1,课 堂 请 勿 对 对 子 【第二季】1,三十六贱笑,251.4,3982785,24000,https://www.bilibili.com/video/BV1KM4y1u7CX
2,期 末 复 习 现 状,路路迷路路,396.6,3146888,5115,https://www.bilibili.com/video/BV16q4y1L7Up
3,自制点火启动式火箭电脑机箱,手工耿,157.8,2907825,21000,https://www.bilibili.com/video/BV1i5411K7cY
4,INTO1-刘彰回来啦，用一个歌词vlog来跟大家聊聊最近～,叫我AK就好了,38.6,2808882,26000,https://www.bilibili.com/video/BV1fK4y1u7Ms
5,救命！蜜雪冰城的玩具太魔性了！,机智的Kason,320.6,2733216,10000,https://www.bilibili.com/video/BV1D64y1r7b8
6,笑死！这玩意能骗我10w就离谱！！！,麟宣森,186.4,2465900,6060,https://www.bilibili.com/video/BV13w411o7uZ
7,全网吹爆的河南卫视，狠抽了资本一个耳光,独立鱼电影,175.6,2448508,14000,https://www.bilibili.com/video/BV1Hq4y1L7GP
8,我是谁？（2）,小潮院长,165.7,2376834,15000,https://www.bilibili.com/video/BV1mo4y1y7c7
9,【原神】耗时2个月，良心巨制！全角色武器圣遗物配装+天赋加点攻略丨荧火攻略组,赫箩的苹果,68.7,2373929,3421,https://www.bilibili.com/video/BV1bV411s7yq
10,许嵩《有何不可》《如约而至》爷青回！【B站夏日毕业歌会2021单品】,哔哩哔哩晚会,157.1,2359750,18000,https://www.bilibili.com/video/BV1zh411a7Du
11,罗翔老师那些醍醐灌顶的金句,知行阖壹,153.3,2322088,3911,https://www.bilibili.com/video/BV1my4y1u71Q
12,Super爱豆的笑容都没你的甜 > > 热爱105℃的灰原哀,刀田一,318.7,2264080,9678,https://www.bilibili.com/video/BV1E5411T75m
13,当国人在游戏里实现地空协同【解说全覆盖27期】,南云鸟羽,130.3,2208203,7338,https://www.bilibili.com/video/BV1K5411T7yZ
14,【老番茄】史上最骚杀手(番外篇①),老番茄,122.3,2207138,15000,https://www.bilibili.com/video/BV1Jw411f7cW
15,买了五款号称超级辣的泡面，混合在一起制作一款真正的最强辣面,拜托了小翔哥,193.1,2152852,9535,https://www.bilibili.com/video/BV12f4y1877n
16,【国际歌】英特纳雄耐尔，就一定要实现！,共青团中央,122.7,2073929,4914,https://www.bilibili.com/video/BV14f4y187ci
17,【仙剑奇侠传三】仙剑相伴 此生不换！！！,四阿哥li,140.7,2043967,13000,https://www.bilibili.com/video/BV1yK4y1u7hm
18,靠谱盘点123：想打AD？Showmaker竟然转到下路，EDG：我会翻盘了！,靠谱电竞,169.4,1953959,7628,https://www.bilibili.com/video/BV1a54y1G73f
19,【多多xHanser】《怪物》翻唱,多多poi丶,66.4,1923222,1779,https://www.bilibili.com/video/BV1uw411f7iY
20,终于拿《千本樱》来迫害爸妈了！结果弹断手的竟是我自己！,玩音乐的EZ,109.6,1865195,3069,https://www.bilibili.com/video/BV1XU4y157Jr
21,反转？黑化？课本里没告诉你的后续故事,凉风Kaze,189.5,1857991,3623,https://www.bilibili.com/video/BV1XQ4y19764
22,臭杠精,杜海皇,149.9,1804479,7189,https://www.bilibili.com/video/BV1864y1r7a6
23,将整条鱼肉放进180℃的油锅，竟然膨胀成小炸蛋？？！,二喵的饭,134.4,1744960,7130,https://www.bilibili.com/video/BV1j5411T76N
24,鲨 鱼 屠 夫 ！！,徐大虾咯,102.3,1739770,12000,https://www.bilibili.com/video/BV1D64y1r7Ah
25,评分3.6！编剧疯了！UP主看完也疯了！直球吐槽19年度发病神作《笑容的代价》,瓶子君152,123.7,1739001,6398,https://www.bilibili.com/video/BV17w411f7TV
26,Fa♂Q💖105 °C的你,王思妇丶,85.8,1673083,1461,https://www.bilibili.com/video/BV1Wy4y1g7vz
27,【抽奖】70W粉大福利：送你台1.5W元的游戏主机,FUN科技,92.6,1656697,45000,https://www.bilibili.com/video/BV17B4y1M7J4
28,曾小贤火锅陷倒闭潮？雇佣童工？天花板砸头？揭露明星火锅加盟捞金骗局【牛顿】,牛顿顿顿,134.5,1644399,4032,https://www.bilibili.com/video/BV1Aq4y1L7cm
29,108一份的花露水味早茶？这就是月入百万的朋友推荐的米其林二星吗！【凭啥这么贵ep27】,王师傅和小毛毛,74.6,1613203,7580,https://www.bilibili.com/video/BV1Zf4y187zP
30,十二首血洗B站的动漫神曲！唤醒你的中二灵魂！！！,Starshine刹那,63.7,1598865,3150,https://www.bilibili.com/video/BV1fv411p79E
31,可爱宝宝宝,花少北丶,53.1,1584868,7602,https://www.bilibili.com/video/BV1T54y1H7ua
